frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
7,1,92.7,False,317,93,386,195,0.99,truck,0.28
39,9,51.4,False,239,120,288,166,0.99,car,1.56
48,10,30.0,False,438,125,455,142,0.99,motorcycle,1.92
79,13,51.4,False,307,117,360,169,0.99,car,3.16
106,15,51.4,False,236,121,284,166,0.99,car,4.24
165,17,51.4,False,386,122,438,165,0.99,car,6.6
184,18,48.0,False,229,118,281,166,0.99,car,7.36
202,19,60.0,False,308,114,362,171,0.99,car,8.08
297,22,45.0,False,313,120,359,164,0.99,car,11.88
350,26,45.0,False,307,122,354,165,0.99,car,14.0
375,25,42.4,False,396,70,507,215,0.99,truck,15.0
390,28,60.0,False,185,118,238,167,0.99,car,15.6
442,31,36.0,False,282,119,331,165,0.99,car,17.68
469,34,45.0,False,206,117,258,166,0.99,car,18.76
490,35,34.3,False,309,109,365,166,0.99,car,19.6
522,38,40.0,False,182,121,231,165,0.99,car,20.88
531,39,36.0,False,312,121,359,165,0.99,car,21.24
551,41,34.3,False,375,122,432,166,0.99,car,22.04
570,43,37.9,False,302,121,349,166,0.99,car,22.8
654,47,28.8,False,365,118,421,163,0.99,car,26.16
671,49,48.0,False,246,123,287,166,0.99,car,26.84
692,50,30.0,False,421,96,508,193,0.99,bus,27.68
700,52,42.4,False,191,111,243,162,0.99,car,28.0
755,54,37.9,False,229,117,284,170,0.99,car,30.2
766,57,51.4,False,168,117,221,165,0.99,car,30.64
787,56,37.9,False,314,120,361,165,0.99,car,31.48
834,58,23.2,False,357,122,416,165,0.99,car,33.36
861,63,48.0,False,184,119,235,164,0.99,car,34.44
926,68,34.3,False,322,121,372,167,0.99,car,37.04
953,74,40.0,False,255,121,297,165,0.99,car,38.12
980,76,32.7,False,228,118,275,168,0.99,car,39.2
991,51,6.4,False,403,83,517,206,0.99,bus,39.64
1019,67,55.4,False,-4,182,65,258,0.99,car,40.76
1031,84,32.7,False,317,112,362,165,0.99,truck,41.24
1082,87,36.0,False,314,121,365,168,0.99,car,43.28
1103,91,42.4,False,182,118,232,167,0.99,car,44.12
